Age_range,Gender,Languages,Country,Nationality,Education,Major,Occupation,Devices,Internet_familiarity,Internet_quality,Desktop_familiarity,Laptop_familiarity,Phone_familiarity,Feature_phone_familiarity,Tablet_familiarity,Smartwatch_familiarity
Generation Z: Born 1997-2012,Male,Bengali;English,Bangladesh,Bangladeshi,University/Higher Degree,Engineering,Teacher,Laptop / Macbook;Android / iPhone / Touchscreen phone;Smartwatch,5.0,5.0,5.0,5.0,,,3.0,5.0
Generation Z: Born 1997-2012,Male,Bengali;English,Bangladesh,Bangladeshi,University/Higher Degree,Computer Science,IT Professional,Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,5.0,5.0,5.0,5.0,5.0,5.0,
Generation Z: Born 1997-2012,Male,Bengali;English;Hindi,Bangladesh,Bangladeshi,College/HSC/A-level/Equivalent Degree,Electrical & Electronic Engineering,Student,Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,2.0,,5.0,5.0,,,
Generation Z: Born 1997-2012,Male,Bengali;English;Hindi,Bangladesh,Bangladeshi,University/Higher Degree,Computer Science ,IT Professional,Android / iPhone / Touchscreen phone,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Generation Z: Born 1997-2012,Male,Bengali;English;Hindi,Bangladesh,Bangladeshi,University/Higher Degree,Engineering ,Student,Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,3.0,,5.0,5.0,,,
Generation Z: Born 1997-2012,Male,Bengali;English;Hindi,Bangladesh,Bangladeshi,University/Higher Degree,CS,Private employee (not officer),Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Generation Z: Born 1997-2012,Male,Bengali,Bangladesh,Bangladeshi,University/Higher Degree,Computer Science,Private officer,Android / iPhone / Touchscreen phone,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0
Generation Z: Born 1997-2012,Male,Bengali;English,Bangladesh,Bangladeshi,University/Higher Degree,Engineering,Student,Laptop / Macbook;Android / iPhone / Touchscreen phone;Tablet / iPad,5.0,3.0,5.0,5.0,5.0,,5.0,
Generation Z: Born 1997-2012,Male,Bengali;English;Hindi,Bangladesh,Bangladeshi,University/Higher Degree,EEE,IT Professional;Private employee (not officer),Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,4.0,5.0,5.0,5.0,5.0,,
Millennials: Born 1981-1996,Male,Bengali;English;Hindi,Bangladesh,Bangladeshi,University/Higher Degree,Information and Communication Engineering ,Unemployed,Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,4.0,5.0,5.0,5.0,5.0,,
Generation Z: Born 1997-2012,Female,English,Bangladesh,Bangladeshi,University/Higher Degree,Science,Student,Android / iPhone / Touchscreen phone,4.0,4.0,,,,,,
Generation Z: Born 1997-2012,Male,Bengali;English,Bangladesh,Bangladeshi,University/Higher Degree,Mechanical Engineering,IT Professional,Desktop Computer / iMac / Mac mini;Android / iPhone / Touchscreen phone,5.0,4.0,5.0,5.0,5.0,1.0,,2.0
Generation Z: Born 1997-2012,Male,Bengali;English,Bangladesh,Bangladeshi,University/Higher Degree,CSE,IT Professional,Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,3.0,5.0,5.0,5.0,5.0,5.0,
Generation Z: Born 1997-2012,Male,Bengali;English;Hindi,Bangladesh,Bangladeshi,University/Higher Degree,Computer Science and Engineering,Student;Teacher,Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,4.0,5.0,5.0,5.0,,3.0,1.0
Generation Z: Born 1997-2012,Male,Arabic;Bengali;English;Hindi,United Arab Emirates,Bangladeshi,College/HSC/A-level/Equivalent Degree,General science,Private employee (not officer);Car technician ,Android / iPhone / Touchscreen phone,5.0,5.0,,,5.0,5.0,,
Generation Z: Born 1997-2012,Male,Bengali;English;Hindi,Bangladesh,Bangladeshi,College/HSC/A-level/Equivalent Degree,Arts,Student,Laptop / Macbook;Android / iPhone / Touchscreen phone,4.0,3.0,,,,,,
Generation Z: Born 1997-2012,Male,Bengali;English,Bangladesh,Bangladeshi,University/Higher Degree,Computer science,IT Professional,Desktop Computer / iMac / Mac mini;Feature phone (with physical keyboard having no touchscreen),4.0,1.0,,,,,,
Generation Z: Born 1997-2012,Male,Bengali;English,Bangladesh,Bangladeshi,University/Higher Degree,Computer Science,IT Professional,Laptop / Macbook;Android / iPhone / Touchscreen phone;Tablet / iPad,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Generation Z: Born 1997-2012,Male,Bengali;English;Hindi;Russian;Spanish,Bangladesh,Bangladeshi,University/Higher Degree,EEE,Student;Unemployed,Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0
Generation Z: Born 1997-2012,Male,Bengali;English;Hindi,Bangladesh,Bangladeshi,University/Higher Degree,Engineering ,Student;Teacher,Desktop Computer / iMac / Mac mini;Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,4.0,5.0,5.0,5.0,5.0,,3.0
Generation Z: Born 1997-2012,Male,Bengali;English,United States,Bangladeshi,Above College/Diploma/Equivalent Degree,Electrical engineering,Student,Desktop Computer / iMac / Mac mini;Laptop / Macbook;Android / iPhone / Touchscreen phone;Tablet / iPad;Smartwatch,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0
Generation Z: Born 1997-2012,Male,Bengali;English,Bangladesh,Bangladeshi,University/Higher Degree,Computer Science,Teacher,Desktop Computer / iMac / Mac mini;Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Generation Z: Born 1997-2012,Male,Bengali;English,Bangladesh,Bangladeshi,University/Higher Degree,Computer Science and Engineering ,IT Professional,Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,4.0,5.0,5.0,5.0,,,
Millennials: Born 1981-1996,Female,Bengali;English,Bangladesh,Bangladeshi,University/Higher Degree,CSE,Businessman (small business),Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0
Generation Z: Born 1997-2012,Female,Bengali,Bangladesh,Bangladeshi,University/Higher Degree,Arts,Student,Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,3.0,,,5.0,,,
Generation Z: Born 1997-2012,Male,Bengali;English;Hindi,Bangladesh,Bangladeshi,University/Higher Degree,Electrical and Electronic Engineering,Banker,Android / iPhone / Touchscreen phone,5.0,5.0,5.0,,5.0,,,
Generation Z: Born 1997-2012,Male,Bengali;English,Bangladesh,Bangladeshi,University/Higher Degree,Computer Science and Engineering,IT Professional;Private employee (not officer),Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0
Millennials: Born 1981-1996,Male,Bengali;English;Hindi,United States,Bangladeshi,University/Higher Degree,Electrical Engineering,Student,Desktop Computer / iMac / Mac mini;Laptop / Macbook;Android / iPhone / Touchscreen phone;Tablet / iPad;Smartwatch,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Generation Z: Born 1997-2012,Male,Bengali;English,Bangladesh,Bangladeshi,University/Higher Degree,Computer Science & Engineering,Government officer,Laptop / Macbook;Android / iPhone / Touchscreen phone;Tablet / iPad,5.0,4.0,,5.0,5.0,,5.0,
Generation Z: Born 1997-2012,Female,Bengali;English;Hindi,Bangladesh,Bangladeshi,University/Higher Degree,Computer Science,Student,Laptop / Macbook;Android / iPhone / Touchscreen phone;Feature phone (with physical keyboard having no touchscreen);Smartwatch,5.0,2.0,5.0,5.0,5.0,5.0,,5.0
Millennials: Born 1981-1996,Male,Bengali;English;Hindi,Bangladesh,Bangladeshi,University/Higher Degree,Computer Science ,Student;Teacher,Desktop Computer / iMac / Mac mini;Laptop / Macbook;Android / iPhone / Touchscreen phone;Smartwatch,5.0,3.0,5.0,5.0,5.0,5.0,,
Generation Z: Born 1997-2012,Male,Bengali;English;Hindi,Bangladesh,Bangladeshi,University/Higher Degree,Computer Science,IT Professional,Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0
Generation Z: Born 1997-2012,Male,Bengali;English,Bangladesh,Bangladeshi,University/Higher Degree,Computer Science,IT Professional,Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,4.0,3.0,5.0,,1.0,,3.0
Generation Z: Born 1997-2012,Female,Bengali;English,United Kingdom,Bangladeshi,University/Higher Degree,Computer Science ,Government employee (not officer),Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,5.0,5.0,5.0,5.0,,5.0,5.0
Generation Z: Born 1997-2012,Male,Bengali;English,Bangladesh,Bangladeshi,University/Higher Degree,Computer Science & Engineering,IT Professional;Private employee (not officer),Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,5.0,5.0,,5.0,,,3.0
Generation Z: Born 1997-2012,Male,Bengali;English;Spanish,United States,Bangladeshi,University/Higher Degree,Industrial Engineering ,Graduate Research Assistant ,Android / iPhone / Touchscreen phone,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0
Generation Z: Born 1997-2012,Female,Bengali;English,Bangladesh,Bangladeshi,University/Higher Degree,Computer Science and Engineering,Private employee (not officer),Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0
Generation Z: Born 1997-2012,Female,Bengali;English;Hindi,Netherlands,Bangladeshi,University/Higher Degree,Computer science ,IT Professional,Laptop / Macbook;Android / iPhone / Touchscreen phone,4.0,4.0,,5.0,5.0,3.0,,3.0
Millennials: Born 1981-1996,Male,Bengali;English,United States,Bangladeshi,University/Higher Degree,Computer Science,Student,Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0
Generation Z: Born 1997-2012,Female,Bengali;English,United States,Bangladeshi,University/Higher Degree,Computer Science,Student,Desktop Computer / iMac / Mac mini;Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,5.0,5.0,5.0,5.0,1.0,3.0,3.0
Millennials: Born 1981-1996,Female,Bengali;English;Hindi,Bangladesh,Bangladeshi,University/Higher Degree,Biochemistry and Molecular Biology ,Teacher;Government employee (not officer),Desktop Computer / iMac / Mac mini;Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,3.0,5.0,5.0,5.0,5.0,,
Generation Z: Born 1997-2012,Female,Bengali;English,Australia,Bangladeshi,University/Higher Degree,IT,IT Professional,Laptop / Macbook;Android / iPhone / Touchscreen phone,4.0,5.0,5.0,5.0,5.0,5.0,5.0,
Generation Z: Born 1997-2012,Male,Bengali;English,United States,Bangladeshi,College/HSC/A-level/Equivalent Degree,Nursing,Student;Unemployed,Laptop / Macbook;Android / iPhone / Touchscreen phone,4.0,3.0,5.0,5.0,5.0,5.0,,2.0
Generation X: Born 1965-1980,Female,Bengali;English,Canada,Bangladeshi,University/Higher Degree,Commerce,Government officer,Desktop Computer / iMac / Mac mini;Laptop / Macbook;Android / iPhone / Touchscreen phone;Tablet / iPad;Smartwatch,5.0,5.0,5.0,5.0,5.0,,5.0,5.0
Millennials: Born 1981-1996,Male,Bengali;English,United States,Bangladeshi,University/Higher Degree,CS,Student,Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,4.0,,5.0,5.0,,,3.0
Millennials: Born 1981-1996,Female,Bengali;English,Bangladesh,Bangladeshi,University/Higher Degree,Computer Science and Engineering,IT Professional,Desktop Computer / iMac / Mac mini;Android / iPhone / Touchscreen phone,5.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0
Generation Z: Born 1997-2012,Male,Bengali;English;Hindi,Bangladesh,Bangladeshi,University/Higher Degree,Software Engineering,IT Professional;Private employee (not officer),Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,3.0,,5.0,5.0,,3.0,3.0
Generation Z: Born 1997-2012,Male,Bengali,Bangladesh,Bangladeshi,University/Higher Degree,CSE,Student,Android / iPhone / Touchscreen phone,5.0,4.0,5.0,5.0,5.0,3.0,,
Generation Z: Born 1997-2012,Male,Arabic;Bengali;English;Hindi;Spanish;Urdu,Bangladesh,Bangladeshi,University/Higher Degree,Computer Science and Engineering,Student;Teacher,Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,4.0,5.0,5.0,5.0,5.0,5.0,
Generation Z: Born 1997-2012,Male,Bengali;English;Hindi;Nepali,Nepal,Nepalese,University/Higher Degree,Computer Science ,Student,Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,4.0,,5.0,5.0,,,
Generation Z: Born 1997-2012,Male,Bengali,Bangladesh,Bangladeshi,University/Higher Degree,Computer Science and Engineering,Student,Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,2.0,1.0,,,,2.0,2.0
Generation Z: Born 1997-2012,Male,Bengali;English,Bangladesh,Bangladeshi,University/Higher Degree,Computer Science/IT,Student;Teacher;IT Professional;Government officer;Government employee (not officer);Businessman (large business),Laptop / Macbook,5.0,4.0,5.0,5.0,5.0,,5.0,5.0
Generation Z: Born 1997-2012,Male,Bengali,Bangladesh,Bangladeshi,College/HSC/A-level/Equivalent Degree,CSE,Student,Android / iPhone / Touchscreen phone,4.0,3.0,3.0,3.0,5.0,5.0,3.0,3.0
Generation Z: Born 1997-2012,Male,Bengali;English;Hindi,Bangladesh,Bangladeshi,College/HSC/A-level/Equivalent Degree,Computer science,Student,Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,4.0,,5.0,5.0,5.0,3.0,2.0
Generation Z: Born 1997-2012,Female,Bengali;English;Hindi,Bangladesh,Bangladeshi,University/Higher Degree,Computer science and Engineering ,Teacher,Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,2.0,,5.0,5.0,,,
Generation Z: Born 1997-2012,Male,Bengali;English,Bangladesh,Bangladeshi,University/Higher Degree,Computer Science and Engineering ,Teacher,Laptop / Macbook;Android / iPhone / Touchscreen phone;Tablet / iPad,5.0,5.0,,5.0,5.0,,5.0,
Generation Z: Born 1997-2012,Male,Bengali;English,Bangladesh,Bangladeshi,University/Higher Degree,Computer Science,Student,Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,4.0,5.0,5.0,5.0,1.0,1.0,
Generation Z: Born 1997-2012,Male,Bengali;English;Hindi;Japanese,Bangladesh,Bangladeshi,University/Higher Degree,Computer Science,Teacher,Desktop Computer / iMac / Mac mini;Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,3.0,5.0,5.0,5.0,5.0,3.0,1.0
Generation Z: Born 1997-2012,Male,Bengali;English;Hindi,Bangladesh,Bangladeshi,University/Higher Degree,Medical,Student,Desktop Computer / iMac / Mac mini;Android / iPhone / Touchscreen phone,5.0,5.0,5.0,5.0,5.0,,3.0,2.0
Generation Z: Born 1997-2012,Male,Arabic;Bengali;English;Hindi;Spanish,Bangladesh,Bangladeshi,University/Higher Degree,Computer Science,Teacher,Desktop Computer / iMac / Mac mini;Laptop / Macbook;Android / iPhone / Touchscreen phone;Tablet / iPad;Smartwatch,5.0,4.0,5.0,5.0,5.0,,5.0,5.0
Generation X: Born 1965-1980,Male,Bengali;English,Bangladesh,Bangladeshi,University/Higher Degree,Medical ,Doctor/Dentist/Nurse/Pharmacist/Health Professional,Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,4.0,,5.0,5.0,3.0,3.0,3.0
Generation Z: Born 1997-2012,Male,Bengali,Bangladesh,Bangladeshi,University/Higher Degree,Computer Science,Student,Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,4.0,,5.0,5.0,,,
Generation Z: Born 1997-2012,Male,Bengali,Bangladesh,Bangladeshi,University/Higher Degree,Computer Science,Teacher,Desktop Computer / iMac / Mac mini;Laptop / Macbook;Android / iPhone / Touchscreen phone;Feature phone (with physical keyboard having no touchscreen),5.0,4.0,5.0,,,3.0,,
Generation Z: Born 1997-2012,Male,Bengali;English,Bangladesh,Bangladeshi,University/Higher Degree,Maritime science,Not interested to disclose,Laptop / Macbook;Android / iPhone / Touchscreen phone;Tablet / iPad,4.0,3.0,,,,,,
Generation Z: Born 1997-2012,Female,Bengali;English,Bangladesh,Bangladeshi,University/Higher Degree,Engineering ,Student,Desktop Computer / iMac / Mac mini;Android / iPhone / Touchscreen phone,5.0,3.0,,,5.0,5.0,3.0,3.0
Millennials: Born 1981-1996,Male,Bengali;English,Bangladesh,Bangladeshi,University/Higher Degree,CSE,Teacher,Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,4.0,,,,,,
Millennials: Born 1981-1996,Male,Bengali;English;Hindi,Bangladesh,Bangladeshi,University/Higher Degree,CSE,Student,Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,4.0,5.0,5.0,5.0,5.0,,3.0
Generation Z: Born 1997-2012,Male,Bengali;English,Bangladesh,Bangladeshi,University/Higher Degree,Data science ,Student,Desktop Computer / iMac / Mac mini;Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,3.0,5.0,5.0,5.0,,,
